//X;Y;Z;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump29;Rf;Gf;Bf
25219
445619.98010071;5696578.26999958;472.22205021;37522.000000;1.000000;1.000000;1.000000;1.000000;-0.063830;0.063830;-0.063830;1.000000;0.584314;0.572549;0.560784
445619.61070068;5696578.18009956;472.24394991;44461.000000;1.000000;1.000000;1.000000;1.000000;-0.149933;0.149933;-0.149933;1.000000;0.690196;0.682353;0.654902
445619.68270119;5696578.27389915;472.24125006;43947.000000;1.000000;1.000000;1.000000;1.000000;-0.056101;0.056101;-0.056101;1.000000;0.682353;0.670588;0.65098
445619.68720062;5696578.14499958;472.23764994;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.185000;0.185000;-0.185000;1.000000;0.490196;0.470588;0.443137
445619.87990196;5696578.22769936;472.23105003;12336.000000;1.000000;1.000000;1.000000;1.000000;-0.102345;0.102345;-0.102345;1.000000;0.184314;0.192157;0.188235
445619.99030121;5696578.23159893;472.22674992;25443.000000;1.000000;1.000000;1.000000;1.000000;-0.099080;0.099080;-0.099080;1.000000;0.396078;0.388235;0.376471
445619.91860207;5696578.19139870;472.23005011;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.144746;0.144746;-0.144746;1.000000;0.521569;0.52549;0.509804
445619.99380119;5696578.19609936;472.23115017;21845.000000;1.000000;1.000000;1.000000;1.000000;-0.134144;0.134144;-0.134144;1.000000;0.341176;0.337255;0.32549
445619.95750244;5696578.15749939;472.23134996;54484.000000;1.000000;1.000000;1.000000;1.000000;-0.178117;0.178117;-0.178117;1.000000;0.835294;0.835294;0.811765
445619.78830154;5696578.20559891;472.24524977;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.124463;0.124463;-0.124463;1.000000;0.407843;0.411765;0.419608
445619.72970207;5696578.27649887;472.24114992;41120.000000;1.000000;1.000000;1.000000;1.000000;-0.053501;0.053501;-0.053501;1.000000;0.631373;0.631373;0.603922
445619.65580185;5696578.23669918;472.24195005;31354.000000;1.000000;1.000000;1.000000;1.000000;-0.093301;0.093301;-0.093301;1.000000;0.490196;0.482353;0.458824
