//X;Y;Z;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump44;Rf;Gf;Bf
19877
445623.98430069;5696588.66479881;472.21464970;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.165201;0.165201;-0.165201;1.000000;0.764706;0.752941;0.709804
445624.15110214;5696588.49609955;472.15724995;30069.000000;1.000000;1.000000;1.000000;1.000000;-0.069525;0.069525;-0.069525;1.000000;0.466667;0.462745;0.435294
445624.18870171;5696588.49729927;472.15665009;42662.000000;1.000000;1.000000;1.000000;1.000000;-0.031926;0.031926;-0.031926;1.000000;0.658824;0.654902;0.623529
445624.32670219;5696588.54079826;472.14015009;39064.000000;1.000000;1.000000;1.000000;1.000000;0.081425;-0.081425;0.081425;1.000000;0.607843;0.596078;0.564706
445624.44650085;5696588.58299835;472.16464998;51657.000000;1.000000;1.000000;1.000000;1.000000;-0.038373;0.038373;-0.038373;1.000000;0.803922;0.788235;0.74902
445624.08030136;5696588.41839989;472.16715004;29041.000000;1.000000;1.000000;1.000000;1.000000;-0.140326;0.140326;-0.140326;1.000000;0.454902;0.447059;0.415686
445624.22470100;5696588.47999962;472.15105011;30326.000000;1.000000;1.000000;1.000000;1.000000;0.004074;-0.004074;0.004074;1.000000;0.470588;0.466667;0.443137
445624.11490067;5696588.45739944;472.15514996;47802.000000;1.000000;1.000000;1.000000;1.000000;-0.105727;0.105727;-0.105727;1.000000;0.737255;0.733333;0.709804
445624.47700127;5696588.51989944;472.13495018;28527.000000;1.000000;1.000000;1.000000;1.000000;-0.068874;0.068874;-0.068874;1.000000;0.454902;0.435294;0.388235
445624.07090195;5696588.62459953;472.18074991;38036.000000;1.000000;1.000000;1.000000;1.000000;-0.149725;0.149725;-0.149725;1.000000;0.6;0.580392;0.54902
445624.30500229;5696588.40959938;472.14225008;24158.000000;1.000000;1.000000;1.000000;1.000000;0.079599;-0.079599;0.079599;1.000000;0.376471;0.368627;0.356863
445624.09960182;5696588.37229927;472.16274979;37522.000000;1.000000;1.000000;1.000000;1.000000;-0.121026;0.121026;-0.121026;1.000000;0.588235;0.572549;0.533333
445624.49040230;5696588.41809853;472.14605000;36494.000000;1.000000;1.000000;1.000000;1.000000;-0.101458;0.101458;-0.101458;1.000000;0.564706;0.560784;0.52549
445624.34830101;5696588.44989975;472.14694979;45746.000000;1.000000;1.000000;1.000000;1.000000;0.065867;-0.065867;0.065867;1.000000;0.705882;0.701961;0.67451
445624.49150093;5696588.38060005;472.14564993;35723.000000;1.000000;1.000000;1.000000;1.000000;0.097527;-0.097527;0.097527;1.000000;0.556863;0.54902;0.501961
445624.49270065;5696588.34309967;472.14524986;31868.000000;1.000000;1.000000;1.000000;1.000000;0.085582;-0.085582;0.085582;1.000000;0.501961;0.490196;0.443137
445624.23580177;5696588.29459961;472.14234974;42405.000000;1.000000;1.000000;1.000000;1.000000;-0.035400;0.035400;-0.035400;1.000000;0.658824;0.65098;0.623529
445624.19930084;5696588.25579842;472.14724972;22616.000000;1.000000;1.000000;1.000000;1.000000;-0.077206;0.077206;-0.077206;1.000000;0.34902;0.345098;0.337255
445624.28960236;5696588.56759842;472.13875010;42919.000000;1.000000;1.000000;1.000000;1.000000;0.068975;-0.068975;0.068975;1.000000;0.670588;0.658824;0.619608
445624.39680107;5696588.16289909;472.13644983;27756.000000;1.000000;1.000000;1.000000;1.000000;-0.167101;0.167101;-0.167101;1.000000;0.423529;0.427451;0.411765
445624.10550125;5696588.25959976;472.16165020;27242.000000;1.000000;1.000000;1.000000;1.000000;-0.134945;0.134945;-0.134945;1.000000;0.415686;0.419608;0.4
445624.47610100;5696588.53629883;472.13744976;35723.000000;1.000000;1.000000;1.000000;1.000000;-0.067974;0.067974;-0.067974;1.000000;0.568627;0.545098;0.498039
445624.52600105;5696588.42859848;472.15474989;28784.000000;1.000000;1.000000;1.000000;1.000000;-0.127537;0.127537;-0.127537;1.000000;0.447059;0.443137;0.407843
445624.51160248;5696588.54009827;472.13444998;52171.000000;1.000000;1.000000;1.000000;1.000000;-0.103475;0.103475;-0.103475;1.000000;0.811765;0.8;0.756863
445624.25520142;5696588.42599876;472.14015009;40606.000000;1.000000;1.000000;1.000000;1.000000;0.034574;-0.034574;0.034574;1.000000;0.631373;0.623529;0.596078
445624.40540131;5696588.43299873;472.14234974;48316.000000;1.000000;1.000000;1.000000;1.000000;0.044629;-0.044629;0.044629;1.000000;0.745098;0.741176;0.709804
445624.23690231;5696588.25709923;472.14435007;22873.000000;1.000000;1.000000;1.000000;1.000000;-0.072901;0.072901;-0.072901;1.000000;0.356863;0.352941;0.333333
445624.36480148;5696588.49529846;472.13425018;18761.000000;1.000000;1.000000;1.000000;1.000000;0.043326;-0.043326;0.043326;1.000000;0.298039;0.286275;0.258824
445624.43990143;5696588.49769981;472.13304998;29812.000000;1.000000;1.000000;1.000000;1.000000;-0.031774;0.031774;-0.031774;1.000000;0.47451;0.454902;0.423529
445624.50140198;5696588.59429939;472.16264965;55769.000000;1.000000;1.000000;1.000000;1.000000;-0.093275;0.093275;-0.093275;1.000000;0.866667;0.854902;0.819608
445624.24090202;5696588.15599831;472.15724995;10023.000000;1.000000;1.000000;1.000000;1.000000;-0.174002;0.174002;-0.174002;1.000000;0.156863;0.156863;0.156863
