//X;Y;Z;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump28;Rf;Gf;Bf
25718
445638.95660217;5696608.74970062;471.79094984;11565.000000;1.000000;1.000000;1.000000;1.000000;-0.081515;0.081515;-0.081515;1.000000;0.168627;0.184314;0.160784
445638.93420227;5696608.79659851;471.76254990;18247.000000;1.000000;1.000000;1.000000;1.000000;-0.049421;0.049421;-0.049421;1.000000;0.294118;0.278431;0.258824
445638.97160156;5696608.79770096;471.76664974;9766.000000;1.000000;1.000000;1.000000;1.000000;0.032314;-0.032314;0.032314;1.000000;0.160784;0.152941;0.12549
445638.93740280;5696608.72550018;471.80614998;12850.000000;1.000000;1.000000;1.000000;1.000000;-0.109654;0.109654;-0.109654;1.000000;0.168627;0.219608;0.145098
445639.00259979;5696608.72629745;471.81374981;8738.000000;1.000000;1.000000;1.000000;1.000000;0.103703;-0.103703;0.103703;1.000000;0.113725;0.14902;0.105882
445639.03720291;5696608.80089767;471.76965000;14906.000000;1.000000;1.000000;1.000000;1.000000;0.029102;-0.029102;0.029102;1.000000;0.227451;0.231373;0.223529
445638.93810089;5696608.68569763;471.81034996;40606.000000;1.000000;1.000000;1.000000;1.000000;-0.147923;0.147923;-0.147923;1.000000;0.584314;0.662745;0.505882
445638.93820007;5696608.73250015;471.80154993;10537.000000;1.000000;1.000000;1.000000;1.000000;-0.102751;0.102751;-0.102751;1.000000;0.145098;0.180392;0.133333
445638.82520111;5696608.78330048;471.76685001;32382.000000;1.000000;1.000000;1.000000;1.000000;-0.152740;0.152740;-0.152740;1.000000;0.521569;0.494118;0.443137
445638.87350281;5696608.71059998;471.79145004;14392.000000;1.000000;1.000000;1.000000;1.000000;-0.153914;0.153914;-0.153914;1.000000;0.219608;0.235294;0.156863
445638.97440155;5696608.76209839;471.78494980;11051.000000;1.000000;1.000000;1.000000;1.000000;0.068006;-0.068006;0.068006;1.000000;0.168627;0.176471;0.14902
445638.88370331;5696608.71909912;471.78964998;12079.000000;1.000000;1.000000;1.000000;1.000000;-0.140907;0.140907;-0.140907;1.000000;0.176471;0.2;0.137255
445638.94740112;5696608.75049789;471.79054977;12079.000000;1.000000;1.000000;1.000000;1.000000;-0.082825;0.082825;-0.082825;1.000000;0.176471;0.196078;0.168627
445638.98250015;5696608.75189789;471.79215004;9509.000000;1.000000;1.000000;1.000000;1.000000;-0.078102;0.078102;-0.078102;1.000000;0.137255;0.156863;0.129412
445639.04070099;5696608.70879944;471.81294968;34952.000000;1.000000;1.000000;1.000000;1.000000;0.121201;-0.121201;0.121201;1.000000;0.505882;0.560784;0.494118
