//X;Y;Z;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump116;Rf;Gf;Bf
7997
445652.04870041;5696556.15719803;469.76304986;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.172802;0.172802;-0.172802;1.000000;0.32549;0.317647;0.282353
445651.97520264;5696556.15519913;469.72934987;24158.000000;1.000000;1.000000;1.000000;1.000000;-0.174861;0.174861;-0.174861;1.000000;0.380392;0.380392;0.301961
445652.05010040;5696556.19449814;469.75884988;21331.000000;1.000000;1.000000;1.000000;1.000000;-0.135502;0.135502;-0.135502;1.000000;0.333333;0.329412;0.286275
445651.97150238;5696556.19059952;469.72965004;10280.000000;1.000000;1.000000;1.000000;1.000000;-0.139403;0.139403;-0.139403;1.000000;0.156863;0.176471;0.0627451
445652.13570221;5696556.13209923;469.80624988;31097.000000;1.000000;1.000000;1.000000;1.000000;-0.197929;0.197929;-0.197929;1.000000;0.47451;0.478431;0.454902
445652.14120300;5696556.14319809;469.81124999;28013.000000;1.000000;1.000000;1.000000;1.000000;-0.186802;0.186802;-0.186802;1.000000;0.427451;0.435294;0.407843
445652.07230194;5696556.14079865;469.77784993;19532.000000;1.000000;1.000000;1.000000;1.000000;-0.189249;0.189249;-0.189249;1.000000;0.305882;0.301961;0.270588
445652.08740051;5696556.15789993;469.78804996;18247.000000;1.000000;1.000000;1.000000;1.000000;-0.172100;0.172100;-0.172100;1.000000;0.290196;0.278431;0.25098
445652.08630188;5696556.19539841;469.78845002;22616.000000;1.000000;1.000000;1.000000;1.000000;-0.134602;0.134602;-0.134602;1.000000;0.360784;0.345098;0.32549
445652.04549988;5696556.19499977;469.75635006;18247.000000;1.000000;1.000000;1.000000;1.000000;-0.135000;0.135000;-0.135000;1.000000;0.290196;0.282353;0.239216
445651.89960297;5696556.18820007;469.71234991;15163.000000;1.000000;1.000000;1.000000;1.000000;-0.147272;0.147272;-0.147272;1.000000;0.231373;0.239216;0.196078
445652.01250275;5696556.13749893;469.74714996;13107.000000;1.000000;1.000000;1.000000;1.000000;-0.192508;0.192508;-0.192508;1.000000;0.215686;0.2;0.184314
