//X;Y;Z;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump48;Rf;Gf;Bf
19256
445636.69080170;5696591.45430000;471.66904976;34181.000000;1.000000;1.000000;1.000000;1.000000;0.063925;-0.063925;0.063925;1.000000;0.541176;0.52549;0.482353
445636.65450104;5696591.41559990;471.66925003;29812.000000;1.000000;1.000000;1.000000;1.000000;0.027624;-0.027624;0.027624;1.000000;0.478431;0.454902;0.411765
445636.67189987;5696591.45360001;471.67285015;30583.000000;1.000000;1.000000;1.000000;1.000000;0.045023;-0.045023;0.045023;1.000000;0.486275;0.466667;0.419608
445636.63660248;5696591.37749870;471.67504980;32382.000000;1.000000;1.000000;1.000000;1.000000;0.009726;-0.009726;0.009726;1.000000;0.509804;0.494118;0.454902
445636.60510071;5696591.26359947;471.67224981;31868.000000;1.000000;1.000000;1.000000;1.000000;-0.069880;0.069880;-0.069880;1.000000;0.505882;0.490196;0.443137
445636.60760315;5696591.18869980;471.66914989;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.142609;0.142609;-0.142609;1.000000;0.498039;0.486275;0.443137
445636.71940048;5696591.19289978;471.63464977;53456.000000;1.000000;1.000000;1.000000;1.000000;-0.137100;0.137100;-0.137100;1.000000;0.831373;0.819608;0.780392
445636.72080048;5696591.15769966;471.63425018;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.172300;0.172300;-0.172300;1.000000;0.556863;0.545098;0.505882
445636.76960190;5696591.30729874;471.63824989;25443.000000;1.000000;1.000000;1.000000;1.000000;-0.022701;0.022701;-0.022701;1.000000;0.407843;0.392157;0.34902
445636.80740173;5696591.30859955;471.63294985;25186.000000;1.000000;1.000000;1.000000;1.000000;-0.032361;0.032361;-0.032361;1.000000;0.396078;0.388235;0.341176
445636.56470306;5696591.54039963;471.69004967;41120.000000;1.000000;1.000000;1.000000;1.000000;-0.062174;0.062174;-0.062174;1.000000;0.658824;0.627451;0.572549
445636.60010345;5696591.54409988;471.69164993;23644.000000;1.000000;1.000000;1.000000;1.000000;-0.026773;0.026773;-0.026773;1.000000;0.403922;0.356863;0.290196
445636.60360153;5696591.50639923;471.69135000;42662.000000;1.000000;1.000000;1.000000;1.000000;-0.023275;0.023275;-0.023275;1.000000;0.678431;0.65098;0.6
445636.63890274;5696591.50779922;471.68835022;23644.000000;1.000000;1.000000;1.000000;1.000000;0.012026;-0.012026;0.012026;1.000000;0.388235;0.360784;0.305882
445636.57680328;5696591.68129929;471.71554996;33153.000000;1.000000;1.000000;1.000000;1.000000;-0.050616;0.050616;-0.050616;1.000000;0.517647;0.509804;0.470588
445636.80260284;5696591.65399940;471.67884972;14135.000000;1.000000;1.000000;1.000000;1.000000;-0.019476;0.019476;-0.019476;1.000000;0.231373;0.215686;0.184314
445636.83770187;5696591.65539940;471.68044998;41120.000000;1.000000;1.000000;1.000000;1.000000;-0.054575;0.054575;-0.054575;1.000000;0.643137;0.627451;0.596078
445636.84150131;5696591.61999901;471.68015005;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.058374;0.058374;-0.058374;1.000000;0.537255;0.521569;0.482353
445636.69690140;5696591.50019844;471.68155005;47288.000000;1.000000;1.000000;1.000000;1.000000;0.070024;-0.070024;0.070024;1.000000;0.737255;0.72549;0.682353
445636.55040176;5696591.45779999;471.68134977;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.076475;0.076475;-0.076475;1.000000;0.513725;0.478431;0.427451
445636.65150269;5696591.49039848;471.68405010;23387.000000;1.000000;1.000000;1.000000;1.000000;0.024626;-0.024626;0.024626;1.000000;0.376471;0.360784;0.313725
445636.65290268;5696591.45299919;471.67894985;37265.000000;1.000000;1.000000;1.000000;1.000000;0.026026;-0.026026;0.026026;1.000000;0.592157;0.568627;0.52549
445636.62310226;5696591.46039970;471.68004992;24415.000000;1.000000;1.000000;1.000000;1.000000;-0.003775;0.003775;-0.003775;1.000000;0.392157;0.376471;0.32549
445636.55150040;5696591.42029961;471.68094971;17733.000000;1.000000;1.000000;1.000000;1.000000;-0.075377;0.075377;-0.075377;1.000000;0.309804;0.266667;0.219608
445636.55290039;5696591.38289841;471.67595007;40092.000000;1.000000;1.000000;1.000000;1.000000;-0.073977;0.073977;-0.073977;1.000000;0.647059;0.603922;0.560784
445636.62910278;5696591.34779938;471.67665007;40349.000000;1.000000;1.000000;1.000000;1.000000;0.002226;-0.002226;0.002226;1.000000;0.627451;0.619608;0.584314
445636.51270111;5696591.66869934;471.71014978;56283.000000;1.000000;1.000000;1.000000;1.000000;-0.114176;0.114176;-0.114176;1.000000;0.862745;0.862745;0.831373
445636.62320145;5696591.67479904;471.70825006;53456.000000;1.000000;1.000000;1.000000;1.000000;-0.003818;0.003818;-0.003818;1.000000;0.827451;0.819608;0.788235
445636.51430328;5696591.63359840;471.70515015;24672.000000;1.000000;1.000000;1.000000;1.000000;-0.112574;0.112574;-0.112574;1.000000;0.384314;0.380392;0.341176
445636.55180176;5696591.63480003;471.70454981;39578.000000;1.000000;1.000000;1.000000;1.000000;-0.075075;0.075075;-0.075075;1.000000;0.607843;0.607843;0.580392
445636.58920105;5696591.63589867;471.70855000;52942.000000;1.000000;1.000000;1.000000;1.000000;-0.037676;0.037676;-0.037676;1.000000;0.819608;0.811765;0.780392
445636.62440308;5696591.63729866;471.70785000;29812.000000;1.000000;1.000000;1.000000;1.000000;-0.002474;0.002474;-0.002474;1.000000;0.470588;0.454902;0.419608
445636.59050186;5696591.59849937;471.70585014;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.036375;0.036375;-0.036375;1.000000;0.596078;0.588235;0.545098
445636.56150253;5696591.37279900;471.67154982;28270.000000;1.000000;1.000000;1.000000;1.000000;-0.065374;0.065374;-0.065374;1.000000;0.462745;0.427451;0.380392
445636.56630142;5696591.29989822;471.67324974;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.067642;0.067642;-0.067642;1.000000;0.505882;0.482353;0.447059
445636.56880005;5696591.22499855;471.67014982;48573.000000;1.000000;1.000000;1.000000;1.000000;-0.119993;0.119993;-0.119993;1.000000;0.756863;0.745098;0.690196
445636.75840195;5696591.15899857;471.63135006;54998.000000;1.000000;1.000000;1.000000;1.000000;-0.171034;0.171034;-0.171034;1.000000;0.847059;0.843137;0.803922
445636.81320007;5696591.61789902;471.68114998;50629.000000;1.000000;1.000000;1.000000;1.000000;-0.030073;0.030073;-0.030073;1.000000;0.788235;0.776471;0.741176
445636.83660324;5696591.53659828;471.66734983;30583.000000;1.000000;1.000000;1.000000;1.000000;-0.053476;0.053476;-0.053476;1.000000;0.478431;0.470588;0.431373
445636.73570068;5696591.27069862;471.64094975;31611.000000;1.000000;1.000000;1.000000;1.000000;-0.059301;0.059301;-0.059301;1.000000;0.498039;0.482353;0.447059
445636.77090271;5696591.27209862;471.64024975;25957.000000;1.000000;1.000000;1.000000;1.000000;-0.057901;0.057901;-0.057901;1.000000;0.411765;0.4;0.364706
445636.47760208;5696591.63939865;471.70125010;35723.000000;1.000000;1.000000;1.000000;1.000000;-0.149275;0.149275;-0.149275;1.000000;0.560784;0.54902;0.501961
445636.47920044;5696591.60429962;471.69624998;35209.000000;1.000000;1.000000;1.000000;1.000000;-0.147676;0.147676;-0.147676;1.000000;0.552941;0.537255;0.498039
445636.55310257;5696591.56939896;471.69684984;45489.000000;1.000000;1.000000;1.000000;1.000000;-0.073774;0.073774;-0.073774;1.000000;0.713725;0.698039;0.654902
445636.49580200;5696591.18449982;471.70365002;9509.000000;1.000000;1.000000;1.000000;1.000000;-0.195834;0.195834;-0.195834;1.000000;0.168627;0.141176;0.12549
445636.56540115;5696591.33739861;471.66895010;19018.000000;1.000000;1.000000;1.000000;1.000000;-0.061476;0.061476;-0.061476;1.000000;0.309804;0.290196;0.25098
445636.63910110;5696591.30249985;471.67194988;43690.000000;1.000000;1.000000;1.000000;1.000000;-0.027500;0.027500;-0.027500;1.000000;0.682353;0.670588;0.627451
445636.66080292;5696591.67599876;471.70764973;28784.000000;1.000000;1.000000;1.000000;1.000000;0.034000;-0.034000;0.034000;1.000000;0.45098;0.439216;0.411765
445636.69820221;5696591.67719849;471.70935013;28527.000000;1.000000;1.000000;1.000000;1.000000;0.071407;-0.071407;0.071407;1.000000;0.447059;0.435294;0.407843
445636.75710114;5696591.19639977;471.63404991;20303.000000;1.000000;1.000000;1.000000;1.000000;-0.133681;0.133681;-0.133681;1.000000;0.32549;0.313725;0.278431
445636.77990158;5696591.53239830;471.67164995;32896.000000;1.000000;1.000000;1.000000;1.000000;0.003225;-0.003225;0.003225;1.000000;0.517647;0.501961;0.462745
445636.82660110;5696591.31149872;471.62925007;41120.000000;1.000000;1.000000;1.000000;1.000000;-0.047247;0.047247;-0.047247;1.000000;0.639216;0.635294;0.588235
445636.82530029;5696591.34899910;471.63194992;35723.000000;1.000000;1.000000;1.000000;1.000000;0.046255;-0.046255;0.046255;1.000000;0.556863;0.54902;0.513725
445636.47550018;5696591.66979988;471.70844986;35209.000000;1.000000;1.000000;1.000000;1.000000;-0.151377;0.151377;-0.151377;1.000000;0.545098;0.541176;0.498039
