//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump54
18201
445639.84190186;5696591.97959908;471.52185013;0.501961;0.509804;0.517647;33153.000000;1.000000;1.000000;1.000000;1.000000;0.027525;-0.027525;0.027525;1.000000
445639.65780075;5696591.93369873;471.51765015;0.133333;0.133333;0.129412;8481.000000;1.000000;1.000000;1.000000;1.000000;-0.156576;0.156576;-0.156576;1.000000
445639.85090073;5696591.95069893;471.52194979;0.388235;0.396078;0.392157;25700.000000;1.000000;1.000000;1.000000;1.000000;0.036524;-0.036524;0.036524;1.000000
445639.64540298;5696591.97229965;471.51065018;0.184314;0.188235;0.168627;12079.000000;1.000000;1.000000;1.000000;1.000000;-0.168974;0.168974;-0.168974;1.000000
445639.87710007;5696591.98099907;471.52355005;0.0862745;0.0666667;0.0509804;4626.000000;1.000000;1.000000;1.000000;1.000000;0.062723;-0.062723;0.062723;1.000000
445639.66130264;5696591.89819916;471.52204992;0.054902;0.0509804;0.0509804;3341.000000;1.000000;1.000000;1.000000;1.000000;-0.139615;0.139615;-0.139615;1.000000
445639.77750214;5696591.98119934;471.50274994;0.341176;0.368627;0.360784;23387.000000;1.000000;1.000000;1.000000;1.000000;-0.036875;0.036875;-0.036875;1.000000
445639.69289978;5696591.93729980;471.52395012;0.203922;0.2;0.192157;13107.000000;1.000000;1.000000;1.000000;1.000000;-0.121477;0.121477;-0.121477;1.000000
445639.62640198;5696591.99959953;471.52174999;0.0823529;0.101961;0.0627451;5911.000000;1.000000;1.000000;1.000000;1.000000;-0.187975;0.187975;-0.187975;1.000000
445639.76440247;5696591.97509964;471.52064993;0.211765;0.239216;0.243137;15163.000000;1.000000;1.000000;1.000000;1.000000;-0.049974;0.049974;-0.049974;1.000000
445639.66980179;5696591.89040001;471.52474977;0.0588235;0.054902;0.0509804;3598.000000;1.000000;1.000000;1.000000;1.000000;-0.128416;0.128416;-0.128416;1.000000
445639.70280273;5696591.98339851;471.50404980;0.0705882;0.0784314;0.0627451;4626.000000;1.000000;1.000000;1.000000;1.000000;-0.111574;0.111574;-0.111574;1.000000
445639.66510208;5696591.98219879;471.50694992;0.121569;0.12549;0.117647;7967.000000;1.000000;1.000000;1.000000;1.000000;-0.149275;0.149275;-0.149275;1.000000
445639.80630310;5696591.95239838;471.52924969;0.388235;0.388235;0.396078;25443.000000;1.000000;1.000000;1.000000;1.000000;-0.008074;0.008074;-0.008074;1.000000
445639.68260010;5696591.99229820;471.50324966;0.239216;0.247059;0.227451;15677.000000;1.000000;1.000000;1.000000;1.000000;-0.131777;0.131777;-0.131777;1.000000
445639.62930115;5696591.95269974;471.51434996;0.109804;0.109804;0.101961;6939.000000;1.000000;1.000000;1.000000;1.000000;-0.185076;0.185076;-0.185076;1.000000
445639.70360001;5696591.92699821;471.52434971;0.121569;0.117647;0.109804;7710.000000;1.000000;1.000000;1.000000;1.000000;-0.110777;0.110777;-0.110777;1.000000
445639.77550323;5696591.98599823;471.50495007;0.392157;0.419608;0.415686;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.038874;0.038874;-0.038874;1.000000
445639.64200027;5696591.91639908;471.52145006;0.105882;0.105882;0.109804;6939.000000;1.000000;1.000000;1.000000;1.000000;-0.165474;0.165474;-0.165474;1.000000
445639.74060257;5696591.94919975;471.52864983;0.0588235;0.0588235;0.054902;3598.000000;1.000000;1.000000;1.000000;1.000000;-0.073774;0.073774;-0.073774;1.000000
445639.71970184;5696591.97219856;471.52094986;0.0901961;0.105882;0.105882;6425.000000;1.000000;1.000000;1.000000;1.000000;-0.094675;0.094675;-0.094675;1.000000
445639.78740128;5696591.96839912;471.51464989;0.207843;0.203922;0.211765;13364.000000;1.000000;1.000000;1.000000;1.000000;-0.026976;0.026976;-0.026976;1.000000
445639.63030060;5696591.91739853;471.52325012;0.121569;0.121569;0.121569;7710.000000;1.000000;1.000000;1.000000;1.000000;-0.176052;0.176052;-0.176052;1.000000
445639.65750320;5696591.95249947;471.51095011;0.0784314;0.0784314;0.0705882;4883.000000;1.000000;1.000000;1.000000;1.000000;-0.156874;0.156874;-0.156874;1.000000
445639.71070297;5696591.99209984;471.50215008;0.0627451;0.0705882;0.054902;4112.000000;1.000000;1.000000;1.000000;1.000000;-0.103674;0.103674;-0.103674;1.000000
445639.68120010;5696592.00179871;471.50324966;0.419608;0.431373;0.407843;27756.000000;1.000000;1.000000;1.000000;1.000000;-0.133177;0.133177;-0.133177;1.000000
445639.85180099;5696591.95999916;471.52215006;0.352941;0.34902;0.341176;22873.000000;1.000000;1.000000;1.000000;1.000000;0.037424;-0.037424;0.037424;1.000000
445639.84520157;5696591.96069916;471.51485016;0.396078;0.392157;0.388235;25700.000000;1.000000;1.000000;1.000000;1.000000;0.030825;-0.030825;0.030825;1.000000
445639.64970215;5696591.89929970;471.52154972;0.0823529;0.0862745;0.0823529;5397.000000;1.000000;1.000000;1.000000;1.000000;-0.150348;0.150348;-0.150348;1.000000
445639.64859970;5696591.93459900;471.51494982;0.027451;0.027451;0.027451;1799.000000;1.000000;1.000000;1.000000;1.000000;-0.165777;0.165777;-0.165777;1.000000
445639.70180328;5696591.95519836;471.51994993;0.0901961;0.0901961;0.0823529;5654.000000;1.000000;1.000000;1.000000;1.000000;-0.112574;0.112574;-0.112574;1.000000
445639.66760071;5696591.91629990;471.52255013;0.117647;0.113725;0.105882;7453.000000;1.000000;1.000000;1.000000;1.000000;-0.144201;0.144201;-0.144201;1.000000
445639.68589981;5696591.93569954;471.52134993;0.286275;0.286275;0.278431;18504.000000;1.000000;1.000000;1.000000;1.000000;-0.128477;0.128477;-0.128477;1.000000
445639.75940140;5696591.97319992;471.52504971;0.172549;0.2;0.211765;12593.000000;1.000000;1.000000;1.000000;1.000000;-0.054976;0.054976;-0.054976;1.000000
445639.79710205;5696591.97439964;471.51984980;0.235294;0.258824;0.258824;16448.000000;1.000000;1.000000;1.000000;1.000000;-0.017275;0.017275;-0.017275;1.000000
445639.87450226;5696591.97889908;471.52334978;0.0980392;0.0784314;0.0627451;5397.000000;1.000000;1.000000;1.000000;1.000000;0.060125;-0.060125;0.060125;1.000000
445639.83469971;5696591.97789963;471.52384998;0.607843;0.615686;0.623529;40092.000000;1.000000;1.000000;1.000000;1.000000;0.020323;-0.020323;0.020323;1.000000
445639.65640076;5696591.96429832;471.50864985;0.129412;0.12549;0.121569;8224.000000;1.000000;1.000000;1.000000;1.000000;-0.157976;0.157976;-0.157976;1.000000
445639.81509979;5696591.96799858;471.52285006;0.580392;0.580392;0.580392;38036.000000;1.000000;1.000000;1.000000;1.000000;0.000723;-0.000723;0.000723;1.000000
445639.72000320;5696591.99119957;471.50254967;0.0431373;0.0627451;0.0509804;3598.000000;1.000000;1.000000;1.000000;1.000000;-0.094374;0.094374;-0.094374;1.000000
445639.85270126;5696591.97149857;471.52465012;0.380392;0.376471;0.376471;24672.000000;1.000000;1.000000;1.000000;1.000000;0.038324;-0.038324;0.038324;1.000000
445639.68500336;5696591.97099884;471.51004984;0.054902;0.054902;0.0509804;3341.000000;1.000000;1.000000;1.000000;1.000000;-0.129374;0.129374;-0.129374;1.000000
445639.81120117;5696591.98979958;471.49735023;0.568627;0.588235;0.596078;38036.000000;1.000000;1.000000;1.000000;1.000000;-0.003176;0.003176;-0.003176;1.000000
445639.79900177;5696591.94839867;471.52895023;0.384314;0.388235;0.396078;25186.000000;1.000000;1.000000;1.000000;1.000000;-0.015375;0.015375;-0.015375;1.000000
445639.63660248;5696591.98009880;471.51265003;0.121569;0.129412;0.109804;7967.000000;1.000000;1.000000;1.000000;1.000000;-0.177774;0.177774;-0.177774;1.000000
445639.63780029;5696591.94259842;471.51224997;0.0509804;0.0470588;0.0470588;3084.000000;1.000000;1.000000;1.000000;1.000000;-0.176577;0.176577;-0.176577;1.000000
445639.66440018;5696592.00089844;471.50944998;0.0588235;0.0705882;0.0509804;4112.000000;1.000000;1.000000;1.000000;1.000000;-0.149977;0.149977;-0.149977;1.000000
445639.62800034;5696591.96219833;471.51205017;0.137255;0.141176;0.121569;8995.000000;1.000000;1.000000;1.000000;1.000000;-0.186377;0.186377;-0.186377;1.000000
445639.70060165;5696591.96479996;471.51534988;0.0705882;0.0705882;0.0627451;4369.000000;1.000000;1.000000;1.000000;1.000000;-0.113775;0.113775;-0.113775;1.000000
445639.67710312;5696591.91779907;471.52304985;0.105882;0.105882;0.0980392;6682.000000;1.000000;1.000000;1.000000;1.000000;-0.137274;0.137274;-0.137274;1.000000
445639.74860199;5696591.95779999;471.52444984;0.254902;0.254902;0.254902;16705.000000;1.000000;1.000000;1.000000;1.000000;-0.065775;0.065775;-0.065775;1.000000
445639.64700134;5696591.99079903;471.51324989;0.0941176;0.0980392;0.0823529;6168.000000;1.000000;1.000000;1.000000;1.000000;-0.167376;0.167376;-0.167376;1.000000
445639.64830215;5696591.95329865;471.51055004;0.0509804;0.0470588;0.0431373;3084.000000;1.000000;1.000000;1.000000;1.000000;-0.166075;0.166075;-0.166075;1.000000
445639.81340225;5696591.95399864;471.53195002;0.423529;0.427451;0.439216;28013.000000;1.000000;1.000000;1.000000;1.000000;-0.000975;0.000975;-0.000975;1.000000
445639.68660172;5696591.91919907;471.52344992;0.152941;0.14902;0.141176;9766.000000;1.000000;1.000000;1.000000;1.000000;-0.127775;0.127775;-0.127775;1.000000
445639.70140274;5696591.99289902;471.50175001;0.172549;0.180392;0.160784;11308.000000;1.000000;1.000000;1.000000;1.000000;-0.112974;0.112974;-0.112974;1.000000
445639.71170242;5696591.98249825;471.51135017;0.0392157;0.0470588;0.0352941;2827.000000;1.000000;1.000000;1.000000;1.000000;-0.102674;0.102674;-0.102674;1.000000
445639.74680145;5696591.98379906;471.51534988;0.156863;0.184314;0.184314;11308.000000;1.000000;1.000000;1.000000;1.000000;-0.067575;0.067575;-0.067575;1.000000
445639.74839981;5696591.99559982;471.50385000;0.203922;0.231373;0.227451;14392.000000;1.000000;1.000000;1.000000;1.000000;-0.065977;0.065977;-0.065977;1.000000
445639.65350159;5696591.98329933;471.50874998;0.164706;0.168627;0.156863;10794.000000;1.000000;1.000000;1.000000;1.000000;-0.160875;0.160875;-0.160875;1.000000
445639.73070343;5696591.98539932;471.51224997;0.0941176;0.113725;0.113725;6939.000000;1.000000;1.000000;1.000000;1.000000;-0.083673;0.083673;-0.083673;1.000000
445639.67469986;5696591.98369987;471.50505020;0.0901961;0.0941176;0.0823529;5911.000000;1.000000;1.000000;1.000000;1.000000;-0.139677;0.139677;-0.139677;1.000000
445639.66700180;5696591.95389946;471.51135017;0.0901961;0.0862745;0.0784314;5654.000000;1.000000;1.000000;1.000000;1.000000;-0.147375;0.147375;-0.147375;1.000000
445639.85379990;5696591.95969971;471.52915003;0.364706;0.34902;0.34902;23130.000000;1.000000;1.000000;1.000000;1.000000;0.039423;-0.039423;0.039423;1.000000
445639.81390198;5696591.95869835;471.52974989;0.552941;0.552941;0.560784;36237.000000;1.000000;1.000000;1.000000;1.000000;-0.000475;0.000475;-0.000475;1.000000
445639.62950333;5696591.98069962;471.51695015;0.0941176;0.101961;0.0745098;6168.000000;1.000000;1.000000;1.000000;1.000000;-0.184874;0.184874;-0.184874;1.000000
445639.73780258;5696591.98709877;471.51265003;0.14902;0.164706;0.156863;10280.000000;1.000000;1.000000;1.000000;1.000000;-0.076574;0.076574;-0.076574;1.000000
445639.63080032;5696591.94319923;471.51424982;0.0980392;0.0980392;0.0980392;6425.000000;1.000000;1.000000;1.000000;1.000000;-0.183577;0.183577;-0.183577;1.000000
445639.62100037;5696591.94170006;471.52075006;0.137255;0.137255;0.129412;8738.000000;1.000000;1.000000;1.000000;1.000000;-0.193377;0.193377;-0.193377;1.000000
445639.82150085;5696591.96049889;471.52075006;0.670588;0.670588;0.67451;43947.000000;1.000000;1.000000;1.000000;1.000000;0.007124;-0.007124;0.007124;1.000000
445639.66600235;5696591.94459923;471.51354982;0.156863;0.152941;0.141176;9766.000000;1.000000;1.000000;1.000000;1.000000;-0.148375;0.148375;-0.148375;1.000000
445639.69220169;5696591.99379929;471.50134995;0.266667;0.27451;0.254902;17476.000000;1.000000;1.000000;1.000000;1.000000;-0.122175;0.122175;-0.122175;1.000000
445639.80200012;5696591.96959885;471.50365021;0.552941;0.556863;0.545098;36237.000000;1.000000;1.000000;1.000000;1.000000;-0.012377;0.012377;-0.012377;1.000000
445639.77280243;5696591.95819862;471.50684978;0.168627;0.176471;0.156863;11051.000000;1.000000;1.000000;1.000000;1.000000;-0.041574;0.041574;-0.041574;1.000000
445639.72879990;5696591.96679886;471.51434996;0.105882;0.109804;0.0862745;6939.000000;1.000000;1.000000;1.000000;1.000000;-0.085577;0.085577;-0.085577;1.000000
445639.69370087;5696591.96539886;471.51275017;0.0980392;0.0980392;0.0901961;6168.000000;1.000000;1.000000;1.000000;1.000000;-0.120676;0.120676;-0.120676;1.000000
445639.83320053;5696591.97829826;471.50514986;0.360784;0.364706;0.360784;23644.000000;1.000000;1.000000;1.000000;1.000000;0.018824;-0.018824;0.018824;1.000000
445639.68330200;5696591.95469864;471.51445009;0.117647;0.113725;0.105882;7453.000000;1.000000;1.000000;1.000000;1.000000;-0.131075;0.131075;-0.131075;1.000000
445639.79350098;5696591.95849998;471.51485016;0.258824;0.262745;0.258824;16962.000000;1.000000;1.000000;1.000000;1.000000;-0.020876;0.020876;-0.020876;1.000000
445639.61750229;5696591.97939880;471.52105000;0.117647;0.129412;0.0901961;7967.000000;1.000000;1.000000;1.000000;1.000000;-0.196875;0.196875;-0.196875;1.000000
445639.87840088;5696591.97369965;471.53044989;0.156863;0.141176;0.121569;9252.000000;1.000000;1.000000;1.000000;1.000000;0.064024;-0.064024;0.064024;1.000000
445639.68300064;5696591.97349937;471.50764992;0.0509804;0.054902;0.0470588;3341.000000;1.000000;1.000000;1.000000;1.000000;-0.131376;0.131376;-0.131376;1.000000
445639.80610092;5696591.96899994;471.51545002;0.490196;0.490196;0.494118;32125.000000;1.000000;1.000000;1.000000;1.000000;-0.008276;0.008276;-0.008276;1.000000
445639.82610138;5696591.97889908;471.50724985;0.509804;0.509804;0.505882;33153.000000;1.000000;1.000000;1.000000;1.000000;0.011724;-0.011724;0.011724;1.000000
445639.74090012;5696591.99379929;471.51055004;0.133333;0.156863;0.152941;9766.000000;1.000000;1.000000;1.000000;1.000000;-0.073477;0.073477;-0.073477;1.000000
445639.75760086;5696591.99469955;471.50425007;0.270588;0.301961;0.294118;19018.000000;1.000000;1.000000;1.000000;1.000000;-0.056776;0.056776;-0.056776;1.000000
445639.77970322;5696591.95979889;471.51184990;0.133333;0.137255;0.129412;8738.000000;1.000000;1.000000;1.000000;1.000000;-0.034674;0.034674;-0.034674;1.000000
445639.61840256;5696591.96299942;471.51854994;0.129412;0.133333;0.109804;8481.000000;1.000000;1.000000;1.000000;1.000000;-0.195974;0.195974;-0.195974;1.000000
445639.63580139;5696591.97079857;471.51244976;0.160784;0.168627;0.145098;10537.000000;1.000000;1.000000;1.000000;1.000000;-0.178576;0.178576;-0.178576;1.000000
445639.71100052;5696591.97549828;471.51364996;0.0588235;0.0705882;0.0627451;4112.000000;1.000000;1.000000;1.000000;1.000000;-0.103376;0.103376;-0.103376;1.000000
445639.77820023;5696591.96929939;471.51424982;0.129412;0.129412;0.121569;8224.000000;1.000000;1.000000;1.000000;1.000000;-0.036177;0.036177;-0.036177;1.000000
445639.83210190;5696591.99009903;471.50295021;0.360784;0.364706;0.360784;23644.000000;1.000000;1.000000;1.000000;1.000000;0.017725;-0.017725;0.017725;1.000000
445639.72190292;5696591.98859985;471.50495007;0.054902;0.0745098;0.0666667;4369.000000;1.000000;1.000000;1.000000;1.000000;-0.092474;0.092474;-0.092474;1.000000
445639.62150009;5696591.92289932;471.52294971;0.141176;0.14902;0.14902;9509.000000;1.000000;1.000000;1.000000;1.000000;-0.186423;0.186423;-0.186423;1.000000
445639.76490219;5696591.99639900;471.50234987;0.321569;0.356863;0.360784;22616.000000;1.000000;1.000000;1.000000;1.000000;-0.049475;0.049475;-0.049475;1.000000
