//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump75
14308
445646.34670074;5696572.74959953;470.51554992;0.180392;0.2;0.2;12593.000000;1.000000;1.000000;1.000000;1.000000;-0.085877;0.085877;-0.085877;1.000000
445646.38190277;5696572.75109871;470.51484992;0.521569;0.541176;0.54902;34952.000000;1.000000;1.000000;1.000000;1.000000;0.079061;-0.079061;0.079061;1.000000
445646.27200134;5696572.76539906;470.54734995;0.262745;0.286275;0.239216;17733.000000;1.000000;1.000000;1.000000;1.000000;-0.123175;0.123175;-0.123175;1.000000
445646.23520096;5696572.70769890;470.56824996;0.152941;0.192157;0.156863;11565.000000;1.000000;1.000000;1.000000;1.000000;-0.187162;0.187162;-0.187162;1.000000
445646.23000153;5696572.85609921;470.52554991;0.352941;0.388235;0.337255;24158.000000;1.000000;1.000000;1.000000;1.000000;-0.146875;0.146875;-0.146875;1.000000
445646.23110016;5696572.81859882;470.52514984;0.407843;0.462745;0.368627;28527.000000;1.000000;1.000000;1.000000;1.000000;-0.146222;0.146222;-0.146222;1.000000
445646.45340164;5696572.82889946;470.49105002;0.564706;0.576471;0.541176;37265.000000;1.000000;1.000000;1.000000;1.000000;-0.001101;0.001101;-0.001101;1.000000
445646.45480164;5696572.79149921;470.48604991;0.235294;0.239216;0.219608;15420.000000;1.000000;1.000000;1.000000;1.000000;-0.038501;0.038501;-0.038501;1.000000
445646.20269974;5696572.86559875;470.52674987;0.529412;0.568627;0.498039;35980.000000;1.000000;1.000000;1.000000;1.000000;-0.174177;0.174177;-0.174177;1.000000
445646.28590210;5696572.85099895;470.51874997;0.470588;0.505882;0.494118;32125.000000;1.000000;1.000000;1.000000;1.000000;-0.090975;0.090975;-0.090975;1.000000
445646.51160248;5696572.82129868;470.47965004;0.137255;0.164706;0.113725;9766.000000;1.000000;1.000000;1.000000;1.000000;-0.009673;0.009673;-0.009673;1.000000
445646.36460312;5696572.74099930;470.51635005;0.423529;0.447059;0.443137;28784.000000;1.000000;1.000000;1.000000;1.000000;-0.089843;0.089843;-0.089843;1.000000
445646.47480209;5696572.63219936;470.54324986;0.164706;0.184314;0.196078;11565.000000;1.000000;1.000000;1.000000;1.000000;-0.197845;0.197845;-0.197845;1.000000
445646.35740097;5696572.69469936;470.52705004;0.223529;0.266667;0.239216;16191.000000;1.000000;1.000000;1.000000;1.000000;-0.136695;0.136695;-0.136695;1.000000
445646.28100021;5696572.69199951;470.55854990;0.168627;0.203922;0.196078;12593.000000;1.000000;1.000000;1.000000;1.000000;-0.168037;0.168037;-0.168037;1.000000
445646.39640244;5696572.85489948;470.51214983;0.772549;0.792157;0.792157;51400.000000;1.000000;1.000000;1.000000;1.000000;0.019526;-0.019526;0.019526;1.000000
445646.25240143;5696572.73669918;470.55775001;0.341176;0.380392;0.356863;23901.000000;1.000000;1.000000;1.000000;1.000000;-0.155561;0.155561;-0.155561;1.000000
445646.29140289;5696572.70049961;470.55215003;0.0941176;0.129412;0.109804;7453.000000;1.000000;1.000000;1.000000;1.000000;-0.155165;0.155165;-0.155165;1.000000
445646.36779984;5696572.70319946;470.52064993;0.32549;0.368627;0.341176;22873.000000;1.000000;1.000000;1.000000;1.000000;-0.127125;0.127125;-0.127125;1.000000
