//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump35
23064
445613.94760139;5696597.34359940;473.10815002;0.545098;0.52549;0.509804;34695.000000;1.000000;1.000000;1.000000;1.000000;0.013599;-0.013599;0.013599;1.000000
445613.91020115;5696597.34239777;473.10645010;0.596078;0.588235;0.580392;38550.000000;1.000000;1.000000;1.000000;1.000000;-0.031701;0.031701;-0.031701;1.000000
445613.91350182;5696597.29559906;473.09205009;0.439216;0.423529;0.392157;27756.000000;1.000000;1.000000;1.000000;1.000000;0.043046;-0.043046;0.043046;1.000000
445613.94870193;5696597.29699905;473.09135010;0.458824;0.443137;0.407843;29041.000000;1.000000;1.000000;1.000000;1.000000;-0.033001;0.033001;-0.033001;1.000000
445613.91470154;5696597.25810059;473.09165003;0.619608;0.611765;0.580392;39835.000000;1.000000;1.000000;1.000000;1.000000;0.076016;-0.076016;0.076016;1.000000
445613.76870163;5696597.37209900;473.09105017;0.870588;0.862745;0.835294;56283.000000;1.000000;1.000000;1.000000;1.000000;-0.175791;0.175791;-0.175791;1.000000
445613.96010120;5696597.26799973;473.08914997;0.470588;0.45098;0.415686;29555.000000;1.000000;1.000000;1.000000;1.000000;-0.062000;0.062000;-0.062000;1.000000
445613.93380173;5696597.21199997;473.08964970;0.305882;0.298039;0.27451;19275.000000;1.000000;1.000000;1.000000;1.000000;0.118132;-0.118132;0.118132;1.000000
445613.95880135;5696597.30539902;473.09194996;0.564706;0.54902;0.509804;35980.000000;1.000000;1.000000;1.000000;1.000000;-0.024601;0.024601;-0.024601;1.000000
445613.75190170;5696597.34329803;473.09235003;0.337255;0.32549;0.298039;21331.000000;1.000000;1.000000;1.000000;1.000000;-0.187946;0.187946;-0.187946;1.000000
445613.94820126;5696597.35050018;473.11054995;0.6;0.592157;0.564706;38550.000000;1.000000;1.000000;1.000000;1.000000;0.020500;-0.020500;0.020500;1.000000
445613.97900112;5696597.29879959;473.09735014;0.647059;0.623529;0.6;41120.000000;1.000000;1.000000;1.000000;1.000000;-0.031200;0.031200;-0.031200;1.000000
445613.91090115;5696597.35159882;473.10895016;0.52549;0.513725;0.509804;33667.000000;1.000000;1.000000;1.000000;1.000000;-0.035740;0.035740;-0.035740;1.000000
445613.96400173;5696597.15789993;473.08575012;0.290196;0.27451;0.254902;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.172100;0.172100;-0.172100;1.000000
445613.76980122;5696597.33460052;473.09305002;0.588235;0.576471;0.545098;37779.000000;1.000000;1.000000;1.000000;1.000000;-0.169638;0.169638;-0.169638;1.000000
445613.95230110;5696597.25929840;473.08874990;0.490196;0.478431;0.45098;31354.000000;1.000000;1.000000;1.000000;1.000000;-0.070702;0.070702;-0.070702;1.000000
445613.95470150;5696597.18440063;473.08794977;0.294118;0.282353;0.266667;18504.000000;1.000000;1.000000;1.000000;1.000000;-0.145599;0.145599;-0.145599;1.000000
445613.95860203;5696597.33550079;473.10855009;0.501961;0.482353;0.470588;31868.000000;1.000000;1.000000;1.000000;1.000000;0.005501;-0.005501;0.005501;1.000000
445613.76280125;5696597.33529861;473.09275009;0.443137;0.431373;0.4;28270.000000;1.000000;1.000000;1.000000;1.000000;-0.176655;0.176655;-0.176655;1.000000
445613.95580109;5696597.14689835;473.08984997;0.34902;0.337255;0.321569;22102.000000;1.000000;1.000000;1.000000;1.000000;-0.183102;0.183102;-0.183102;1.000000
445613.76090153;5696597.36350067;473.09065010;0.811765;0.803922;0.776471;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.181592;0.181592;-0.181592;1.000000
445613.91580112;5696597.22059830;473.09124996;0.380392;0.376471;0.34902;24415.000000;1.000000;1.000000;1.000000;1.000000;0.111913;-0.111913;0.111913;1.000000
445613.95350178;5696597.22189911;473.08834984;0.466667;0.454902;0.431373;29812.000000;1.000000;1.000000;1.000000;1.000000;-0.108101;0.108101;-0.108101;1.000000
445613.96510132;5696597.14599808;473.08794977;0.270588;0.258824;0.239216;16962.000000;1.000000;1.000000;1.000000;1.000000;-0.184002;0.184002;-0.184002;1.000000
445613.90320118;5696597.31279953;473.09644987;0.486275;0.478431;0.462745;31354.000000;1.000000;1.000000;1.000000;1.000000;0.040057;-0.040057;0.040057;1.000000
445613.93830116;5696597.31419952;473.09805014;0.396078;0.376471;0.352941;24672.000000;1.000000;1.000000;1.000000;1.000000;0.015837;-0.015837;0.015837;1.000000
445613.86680134;5696597.27419861;473.09665014;0.909804;0.905882;0.890196;59110.000000;1.000000;1.000000;1.000000;1.000000;0.091548;-0.091548;0.091548;1.000000
445613.86560162;5696597.31159790;473.09704973;0.301961;0.298039;0.282353;19275.000000;1.000000;1.000000;1.000000;1.000000;0.076036;-0.076036;0.076036;1.000000
445613.97810181;5696597.31519897;473.09985020;0.607843;0.580392;0.556863;38293.000000;1.000000;1.000000;1.000000;1.000000;0.014801;-0.014801;0.014801;1.000000
445613.95870121;5696597.13019760;473.09445002;0.14902;0.137255;0.121569;8995.000000;1.000000;1.000000;1.000000;1.000000;-0.199802;0.199802;-0.199802;1.000000
445613.82670124;5696597.34559830;473.09805014;0.858824;0.854902;0.835294;55769.000000;1.000000;1.000000;1.000000;1.000000;-0.113750;0.113750;-0.113750;1.000000
445613.86450203;5696597.34910019;473.09744980;0.74902;0.74902;0.74902;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.077273;0.077273;-0.077273;1.000000
445613.82930191;5696597.27300079;473.09735014;0.721569;0.721569;0.705882;47031.000000;1.000000;1.000000;1.000000;1.000000;0.123957;-0.123957;0.123957;1.000000
