//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump46
445602.90100105;5696575.02259930;473.29605009;82;83;51;20303.000000;1.000000;1.000000;1.000000;1.000000;-0.163376;0.163376;-0.163376;1.000000
445602.90180214;5696575.03189953;473.29614975;102;103;69;25186.000000;1.000000;1.000000;1.000000;1.000000;-0.162575;0.162575;-0.162575;1.000000
445602.86970146;5696574.83639915;473.29234983;70;83;45;19018.000000;1.000000;1.000000;1.000000;1.000000;-0.194675;0.194675;-0.194675;1.000000
445602.87490089;5696575.04829891;473.30445005;100;99;72;24672.000000;1.000000;1.000000;1.000000;1.000000;-0.189476;0.189476;-0.189476;1.000000
445602.87510117;5696575.03929909;473.28104975;93;99;52;23644.000000;1.000000;1.000000;1.000000;1.000000;-0.189276;0.189276;-0.189276;1.000000
445602.87530144;5696574.96679886;473.28254988;25;28;15;6425.000000;1.000000;1.000000;1.000000;1.000000;-0.189075;0.189075;-0.189075;1.000000
445602.88940151;5696575.05169876;473.30044987;107;108;79;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.174975;0.174975;-0.174975;1.000000
445602.88350113;5696574.82829960;473.27894976;48;60;24;13364.000000;1.000000;1.000000;1.000000;1.000000;-0.180884;0.180884;-0.180884;1.000000
445602.87050159;5696574.84559925;473.29255011;71;89;47;20046.000000;1.000000;1.000000;1.000000;1.000000;-0.193875;0.193875;-0.193875;1.000000
445602.87280090;5696574.81749924;473.28765013;70;79;45;18504.000000;1.000000;1.000000;1.000000;1.000000;-0.191983;0.191983;-0.191983;1.000000
445602.88040169;5696574.87289913;473.28634979;74;89;51;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.183975;0.183975;-0.183975;1.000000
445602.87960155;5696574.83789928;473.28354980;82;97;55;22359.000000;1.000000;1.000000;1.000000;1.000000;-0.184775;0.184775;-0.184775;1.000000
445602.87430199;5696575.04129894;473.30434992;88;88;61;21845.000000;1.000000;1.000000;1.000000;1.000000;-0.190075;0.190075;-0.190075;1.000000
445602.88100155;5696574.85409935;473.28615000;86;103;64;23901.000000;1.000000;1.000000;1.000000;1.000000;-0.183375;0.183375;-0.183375;1.000000
445602.87470158;5696574.98559959;473.28275015;20;24;10;5397.000000;1.000000;1.000000;1.000000;1.000000;-0.189675;0.189675;-0.189675;1.000000
445602.87190159;5696575.01129921;473.29454996;64;65;44;15934.000000;1.000000;1.000000;1.000000;1.000000;-0.192475;0.192475;-0.192475;1.000000
445602.88150223;5696575.03169926;473.27894976;98;106;67;25443.000000;1.000000;1.000000;1.000000;1.000000;-0.182875;0.182875;-0.182875;1.000000
