//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump49
445604.62890156;5696585.36789902;473.37605001;9;14;7;2827.000000;1.000000;1.000000;1.000000;1.000000;-0.189308;0.189308;-0.189308;1.000000
445604.81440170;5696585.35829933;473.33774998;89;95;73;23130.000000;1.000000;1.000000;1.000000;1.000000;-0.028299;0.028299;-0.028299;1.000000
445604.96360214;5696585.36369904;473.30494978;147;139;124;35723.000000;1.000000;1.000000;1.000000;1.000000;0.033699;-0.033699;0.033699;1.000000
445605.06550224;5696585.57399948;473.29575016;163;167;136;41634.000000;1.000000;1.000000;1.000000;1.000000;0.001125;-0.001125;0.001125;1.000000
445604.84310158;5696585.31139954;473.32914974;31;29;19;7196.000000;1.000000;1.000000;1.000000;1.000000;-0.018600;0.018600;-0.018600;1.000000
445604.83590134;5696585.31199844;473.33355000;32;32;23;7967.000000;1.000000;1.000000;1.000000;1.000000;-0.018002;0.018002;-0.018002;1.000000
445604.72510155;5696585.27029999;473.37225010;55;56;34;13621.000000;1.000000;1.000000;1.000000;1.000000;0.107397;-0.107397;0.107397;1.000000
445604.87490089;5696585.27799995;473.33255007;47;47;39;11822.000000;1.000000;1.000000;1.000000;1.000000;-0.052000;0.052000;-0.052000;1.000000
445604.88850220;5696585.56670006;473.31794979;66;76;41;17733.000000;1.000000;1.000000;1.000000;1.000000;-0.175875;0.175875;-0.175875;1.000000
445604.89410217;5696585.45389946;473.32385017;174;177;149;44461.000000;1.000000;1.000000;1.000000;1.000000;0.123899;-0.123899;0.123899;1.000000
445604.89300163;5696585.41669853;473.32104971;98;101;71;24672.000000;1.000000;1.000000;1.000000;1.000000;0.086699;-0.086699;0.086699;1.000000
445604.78930099;5696585.30189903;473.36154987;42;42;30;10280.000000;1.000000;1.000000;1.000000;1.000000;0.037663;-0.037663;0.037663;1.000000
445604.86140163;5696585.30289848;473.32054998;28;27;21;6682.000000;1.000000;1.000000;1.000000;1.000000;-0.027102;0.027102;-0.027102;1.000000
445604.90240105;5696585.26859863;473.32434990;44;45;39;11308.000000;1.000000;1.000000;1.000000;1.000000;-0.061401;0.061401;-0.061401;1.000000
445604.82940109;5696585.22809990;473.35785009;66;73;44;17219.000000;1.000000;1.000000;1.000000;1.000000;-0.101900;0.101900;-0.101900;1.000000
445604.97860153;5696585.44870003;473.30434992;162;155;138;39835.000000;1.000000;1.000000;1.000000;1.000000;-0.085775;0.085775;-0.085775;1.000000
445604.94870193;5696585.24089821;473.33075001;20;20;16;4883.000000;1.000000;1.000000;1.000000;1.000000;-0.089102;0.089102;-0.089102;1.000000
445605.01630219;5696585.44999893;473.30135014;137;131;116;33667.000000;1.000000;1.000000;1.000000;1.000000;-0.048075;0.048075;-0.048075;1.000000
445605.00120171;5696585.36489876;473.30434992;164;156;142;40092.000000;1.000000;1.000000;1.000000;1.000000;0.034899;-0.034899;0.034899;1.000000
445605.03170212;5696585.51629837;473.30284979;150;152;119;37779.000000;1.000000;1.000000;1.000000;1.000000;-0.032675;0.032675;-0.032675;1.000000
445604.80560120;5696585.31929977;473.34854986;29;29;19;6939.000000;1.000000;1.000000;1.000000;1.000000;0.013839;-0.013839;0.013839;1.000000
445604.79280098;5696585.40239914;473.33734991;54;58;38;13878.000000;1.000000;1.000000;1.000000;1.000000;-0.075546;0.075546;-0.075546;1.000000
445604.79690178;5696585.51659973;473.32725002;41;42;19;10023.000000;1.000000;1.000000;1.000000;1.000000;-0.187416;0.187416;-0.187416;1.000000
445604.92680176;5696585.13989838;473.34725000;47;59;42;13621.000000;1.000000;1.000000;1.000000;1.000000;-0.190102;0.190102;-0.190102;1.000000
445604.66740139;5696585.33159836;473.37974979;57;78;50;17476.000000;1.000000;1.000000;1.000000;1.000000;-0.146984;0.146984;-0.146984;1.000000
445605.06670197;5696585.53649910;473.29535009;159;156;130;39578.000000;1.000000;1.000000;1.000000;1.000000;0.002325;-0.002325;0.002325;1.000000
445604.95250137;5696585.13979919;473.34835007;17;25;14;5397.000000;1.000000;1.000000;1.000000;1.000000;-0.190201;0.190201;-0.190201;1.000000
445604.94390114;5696585.35379990;473.30625011;161;153;138;39321.000000;1.000000;1.000000;1.000000;1.000000;-0.023800;0.023800;-0.023800;1.000000
