//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump34
445607.74070175;5696566.19709976;472.72025015;130;127;105;32125.000000;1.000000;1.000000;1.000000;1.000000;-0.174982;0.174982;-0.174982;1.000000
445607.77480133;5696566.23599823;472.71764996;191;185;170;47545.000000;1.000000;1.000000;1.000000;1.000000;-0.175265;0.175265;-0.175265;1.000000
445607.57350166;5696566.14449890;472.74235012;107;95;69;24415.000000;1.000000;1.000000;1.000000;1.000000;-0.185501;0.185501;-0.185501;1.000000
445607.60860165;5696566.22069939;472.74254992;149;138;114;35466.000000;1.000000;1.000000;1.000000;1.000000;0.109301;-0.109301;0.109301;1.000000
445607.57220181;5696566.18199928;472.74504997;119;107;80;27499.000000;1.000000;1.000000;1.000000;1.000000;-0.148001;0.148001;-0.148001;1.000000
445607.57050140;5696566.21709831;472.75005009;169;159;137;40863.000000;1.000000;1.000000;1.000000;1.000000;-0.112902;0.112902;-0.112902;1.000000
445607.76690109;5696566.19949921;472.71444990;167;159;138;40863.000000;1.000000;1.000000;1.000000;1.000000;-0.191409;0.191409;-0.191409;1.000000
445607.80320175;5696566.23810013;472.71425011;184;179;166;46003.000000;1.000000;1.000000;1.000000;1.000000;-0.198837;0.198837;-0.198837;1.000000
445607.76550110;5696566.23689850;472.71955015;184;179;163;45746.000000;1.000000;1.000000;1.000000;1.000000;-0.166987;0.166987;-0.166987;1.000000
445607.57860191;5696566.22799881;472.75054981;149;139;115;35723.000000;1.000000;1.000000;1.000000;1.000000;-0.102001;0.102001;-0.102001;1.000000
445607.73980148;5696566.18789871;472.72015001;152;152;130;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.181507;0.181507;-0.181507;1.000000
445607.77630146;5696566.22659882;472.71754982;200;192;175;49344.000000;1.000000;1.000000;1.000000;1.000000;-0.181713;0.181713;-0.181713;1.000000
445607.76690109;5696566.22739990;472.71945002;185;178;161;45746.000000;1.000000;1.000000;1.000000;1.000000;-0.173590;0.173590;-0.173590;1.000000
445607.60610111;5696566.24650009;472.74734976;196;188;169;48316.000000;1.000000;1.000000;1.000000;1.000000;0.083500;-0.083500;0.083500;1.000000
445607.57360180;5696566.17249878;472.74504997;140;130;102;33153.000000;1.000000;1.000000;1.000000;1.000000;-0.157501;0.157501;-0.157501;1.000000
445607.57230194;5696566.20999916;472.74774982;159;149;126;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.120001;0.120001;-0.120001;1.000000
445607.56530197;5696566.13359840;472.74414970;73;61;36;15677.000000;1.000000;1.000000;1.000000;1.000000;-0.196402;0.196402;-0.196402;1.000000
445607.56390198;5696566.17099960;472.74924995;112;102;75;26214.000000;1.000000;1.000000;1.000000;1.000000;-0.159000;0.159000;-0.159000;1.000000
445607.59830196;5696566.20999916;472.74195005;175;163;138;41891.000000;1.000000;1.000000;1.000000;1.000000;0.120001;-0.120001;0.120001;1.000000
445607.63460167;5696566.24869926;472.74165012;187;181;162;46260.000000;1.000000;1.000000;1.000000;1.000000;-0.081667;0.081667;-0.081667;1.000000
445607.56270130;5696566.20849808;472.74965002;158;148;125;38036.000000;1.000000;1.000000;1.000000;1.000000;-0.121502;0.121502;-0.121502;1.000000
445607.57280167;5696566.16319855;472.74484970;152;141;115;36237.000000;1.000000;1.000000;1.000000;1.000000;-0.166801;0.166801;-0.166801;1.000000
445607.60770138;5696566.23709877;472.74504997;200;192;171;49344.000000;1.000000;1.000000;1.000000;1.000000;0.092901;-0.092901;0.092901;1.000000
445607.57150181;5696566.20069893;472.74755003;130;119;93;30583.000000;1.000000;1.000000;1.000000;1.000000;-0.129301;0.129301;-0.129301;1.000000
445607.56390198;5696566.14309891;472.74424984;130;118;92;30326.000000;1.000000;1.000000;1.000000;1.000000;-0.186901;0.186901;-0.186901;1.000000
445607.56250198;5696566.18049820;472.74924995;87;77;49;19532.000000;1.000000;1.000000;1.000000;1.000000;-0.149502;0.149502;-0.149502;1.000000
445607.59900196;5696566.21919830;472.74434998;148;137;111;35209.000000;1.000000;1.000000;1.000000;1.000000;0.110802;-0.110802;0.110802;1.000000
445607.56320198;5696566.16179855;472.74674990;148;137;112;35209.000000;1.000000;1.000000;1.000000;1.000000;-0.168201;0.168201;-0.168201;1.000000
445607.56190117;5696566.19919975;472.74944975;125;115;91;29555.000000;1.000000;1.000000;1.000000;1.000000;-0.130800;0.130800;-0.130800;1.000000
445607.59820183;5696566.23789986;472.74924995;197;189;168;48573.000000;1.000000;1.000000;1.000000;1.000000;0.092100;-0.092100;0.092100;1.000000
445607.75890167;5696566.21649940;472.71894981;140;131;112;33667.000000;1.000000;1.000000;1.000000;1.000000;-0.174106;0.174106;-0.174106;1.000000
445607.74850185;5696566.18009956;472.71805002;140;140;116;35209.000000;1.000000;1.000000;1.000000;1.000000;-0.193036;0.193036;-0.193036;1.000000
445607.74950130;5696566.21729858;472.72085001;112;105;85;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.166548;0.166548;-0.166548;1.000000
445607.78510197;5696566.21879967;472.71324970;184;174;157;44975.000000;1.000000;1.000000;1.000000;1.000000;-0.193393;0.193393;-0.193393;1.000000
445607.59670170;5696566.24729927;472.75164988;195;188;169;48316.000000;1.000000;1.000000;1.000000;1.000000;0.082701;-0.082701;0.082701;1.000000
445607.75800140;5696566.20719917;472.71884968;142;133;112;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.179649;0.179649;-0.179649;1.000000
445607.74870117;5696566.20799835;472.72074987;125;118;96;30069.000000;1.000000;1.000000;1.000000;1.000000;-0.172411;0.172411;-0.172411;1.000000
445607.75730141;5696566.19800003;472.71635010;147;139;117;35466.000000;1.000000;1.000000;1.000000;1.000000;-0.185565;0.185565;-0.185565;1.000000
445607.75590141;5696566.23539932;472.72135021;157;151;136;38807.000000;1.000000;1.000000;1.000000;1.000000;-0.159989;0.159989;-0.159989;1.000000
445607.79360111;5696566.23670013;472.71614983;180;175;161;44718.000000;1.000000;1.000000;1.000000;1.000000;-0.191055;0.191055;-0.191055;1.000000
445607.55600174;5696566.13439949;472.74615004;98;85;61;22102.000000;1.000000;1.000000;1.000000;1.000000;-0.195601;0.195601;-0.195601;1.000000
445607.55470188;5696566.17189987;472.74884989;97;87;62;22359.000000;1.000000;1.000000;1.000000;1.000000;-0.158100;0.158100;-0.158100;1.000000
445607.59240158;5696566.17309959;472.74354984;140;129;99;33153.000000;1.000000;1.000000;1.000000;1.000000;-0.156900;0.156900;-0.156900;1.000000
445607.59120186;5696566.21059998;472.74394991;175;163;139;41891.000000;1.000000;1.000000;1.000000;1.000000;-0.119400;0.119400;-0.119400;1.000000
445607.62530144;5696566.24949844;472.74364998;175;167;148;42919.000000;1.000000;1.000000;1.000000;1.000000;-0.080502;0.080502;-0.080502;1.000000
445607.54660137;5696566.13529976;472.74804976;105;92;69;23901.000000;1.000000;1.000000;1.000000;1.000000;-0.194731;0.194731;-0.194731;1.000000
445607.58290203;5696566.17159851;472.74545004;147;136;107;34952.000000;1.000000;1.000000;1.000000;1.000000;-0.158401;0.158401;-0.158401;1.000000
445607.61570175;5696566.24799927;472.74545004;181;173;154;44461.000000;1.000000;1.000000;1.000000;1.000000;0.082001;-0.082001;0.082001;1.000000
445607.58170135;5696566.20909889;472.74585011;165;154;131;39578.000000;1.000000;1.000000;1.000000;1.000000;-0.120901;0.120901;-0.120901;1.000000
445607.55590160;5696566.16009911;472.74874975;159;149;124;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.169901;0.169901;-0.169901;1.000000
