//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump78
445648.33090027;5696591.64659889;470.71604993;90;86;76;22102.000000;1.000000;1.000000;1.000000;1.000000;-0.183401;0.183401;-0.183401;1.000000
445648.66380127;5696591.71579941;470.73654987;120;123;108;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.198145;0.198145;-0.198145;1.000000
445648.32000168;5696591.68259819;470.72064998;117;116;104;29298.000000;1.000000;1.000000;1.000000;1.000000;-0.147500;0.147500;-0.147500;1.000000
445648.35760315;5696591.68379982;470.71994998;125;122;112;31097.000000;1.000000;1.000000;1.000000;1.000000;-0.146200;0.146200;-0.146200;1.000000
445648.32130249;5696591.64509972;470.71784999;91;88;80;22616.000000;1.000000;1.000000;1.000000;1.000000;-0.184945;0.184945;-0.184945;1.000000
445648.32400330;5696591.77559860;470.72184994;134;132;122;33667.000000;1.000000;1.000000;1.000000;1.000000;-0.054419;0.054419;-0.054419;1.000000
445648.32890137;5696591.70279892;470.72124984;160;157;149;40349.000000;1.000000;1.000000;1.000000;1.000000;-0.127201;0.127201;-0.127201;1.000000
445648.36750229;5696591.66649826;470.72254993;185;183;174;46774.000000;1.000000;1.000000;1.000000;1.000000;-0.163502;0.163502;-0.163502;1.000000
445648.35860260;5696591.64629944;470.72194983;143;141;132;35980.000000;1.000000;1.000000;1.000000;1.000000;-0.183701;0.183701;-0.183701;1.000000
445648.30330093;5696591.65379913;470.71954991;78;76;67;19275.000000;1.000000;1.000000;1.000000;1.000000;-0.176201;0.176201;-0.176201;1.000000
445648.31880005;5696591.72009857;470.72094991;105;100;91;25700.000000;1.000000;1.000000;1.000000;1.000000;-0.109990;0.109990;-0.109990;1.000000
445648.30500229;5696591.74699982;470.72064998;111;110;103;28013.000000;1.000000;1.000000;1.000000;1.000000;-0.083000;0.083000;-0.083000;1.000000
445648.30760010;5696591.77479942;470.72114994;128;127;116;32382.000000;1.000000;1.000000;1.000000;1.000000;-0.055201;0.055201;-0.055201;1.000000
445648.33800323;5696591.67389877;470.71895005;173;171;160;43690.000000;1.000000;1.000000;1.000000;1.000000;-0.156101;0.156101;-0.156101;1.000000
445648.34010132;5696591.64569862;470.71645000;105;102;91;25957.000000;1.000000;1.000000;1.000000;1.000000;-0.184301;0.184301;-0.184301;1.000000
445648.31760223;5696591.75749977;470.72134997;129;128;119;32639.000000;1.000000;1.000000;1.000000;1.000000;-0.072572;0.072572;-0.072572;1.000000
445648.35810287;5696591.66499908;470.71974995;221;220;212;56283.000000;1.000000;1.000000;1.000000;1.000000;-0.165001;0.165001;-0.165001;1.000000
445648.33020218;5696591.66529854;470.71854999;183;183;173;46517.000000;1.000000;1.000000;1.000000;1.000000;-0.164701;0.164701;-0.164701;1.000000
445648.31470306;5696591.77649887;470.72144987;134;133;123;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.053502;0.053502;-0.053502;1.000000
445648.31940277;5696591.70129974;470.72085001;167;164;154;41891.000000;1.000000;1.000000;1.000000;1.000000;-0.128798;0.128798;-0.128798;1.000000
445648.32069977;5696591.66389854;470.71805002;135;135;125;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.166167;0.166167;-0.166167;1.000000
445648.33920105;5696591.63649948;470.71854999;100;97;90;24929.000000;1.000000;1.000000;1.000000;1.000000;-0.193501;0.193501;-0.193501;1.000000
445648.32280167;5696591.81309898;470.72225000;97;96;85;24415.000000;1.000000;1.000000;1.000000;1.000000;-0.017096;0.017096;-0.017096;1.000000
445648.33380325;5696591.75599869;470.72214987;135;133;123;33924.000000;1.000000;1.000000;1.000000;1.000000;-0.074001;0.074001;-0.074001;1.000000
445648.33960159;5696591.66449936;470.71424987;206;205;194;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.165501;0.165501;-0.165501;1.000000
445648.32750137;5696591.73789986;470.72164990;107;104;98;26728.000000;1.000000;1.000000;1.000000;1.000000;-0.092100;0.092100;-0.092100;1.000000
445648.34660156;5696591.66389854;470.71455004;220;219;208;56026.000000;1.000000;1.000000;1.000000;1.000000;-0.166104;0.166104;-0.166104;1.000000
445648.32340057;5696591.79439934;470.72204997;159;157;145;40092.000000;1.000000;1.000000;1.000000;1.000000;-0.035655;0.035655;-0.035655;1.000000
445648.32480057;5696591.78489883;470.72204997;153;151;139;38550.000000;1.000000;1.000000;1.000000;1.000000;-0.045105;0.045105;-0.045105;1.000000
445648.32870300;5696591.67479904;470.71854999;146;145;134;37008.000000;1.000000;1.000000;1.000000;1.000000;-0.155201;0.155201;-0.155201;1.000000
445648.36610229;5696591.67589958;470.72264983;145;142;132;36237.000000;1.000000;1.000000;1.000000;1.000000;-0.154100;0.154100;-0.154100;1.000000
445648.32960327;5696591.68409927;470.71875002;123;121;110;30840.000000;1.000000;1.000000;1.000000;1.000000;-0.145901;0.145901;-0.145901;1.000000
445648.36460312;5696591.68540009;470.72264983;118;114;102;29041.000000;1.000000;1.000000;1.000000;1.000000;-0.144600;0.144600;-0.144600;1.000000
445648.30580338;5696591.75630005;470.72085001;114;113;104;28784.000000;1.000000;1.000000;1.000000;1.000000;-0.073700;0.073700;-0.073700;1.000000
445648.31850250;5696591.69209869;470.72064998;152;150;140;38293.000000;1.000000;1.000000;1.000000;1.000000;-0.137963;0.137963;-0.137963;1.000000
445648.35600098;5696591.69319923;470.72234990;121;118;109;30069.000000;1.000000;1.000000;1.000000;1.000000;-0.136802;0.136802;-0.136802;1.000000
445648.31980331;5696591.65459831;470.71794989;111;110;101;28013.000000;1.000000;1.000000;1.000000;1.000000;-0.175486;0.175486;-0.175486;1.000000
445648.35730179;5696591.65579994;470.71965005;205;203;195;51914.000000;1.000000;1.000000;1.000000;1.000000;-0.174200;0.174200;-0.174200;1.000000
445648.33220108;5696591.63709839;470.71825006;102;97;88;24929.000000;1.000000;1.000000;1.000000;1.000000;-0.192902;0.192902;-0.192902;1.000000
445648.34670074;5696591.69409950;470.72194983;137;133;124;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.135905;0.135905;-0.135905;1.000000
445648.31050308;5696591.65549858;470.71984984;91;90;82;22873.000000;1.000000;1.000000;1.000000;1.000000;-0.174501;0.174501;-0.174501;1.000000
445648.34810074;5696591.65669830;470.71694996;206;205;197;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.173319;0.173319;-0.173319;1.000000
445648.30669983;5696591.76559837;470.72094991;108;106;97;26985.000000;1.000000;1.000000;1.000000;1.000000;-0.064402;0.064402;-0.064402;1.000000
445648.29320343;5696591.64539917;470.71895005;67;64;55;16191.000000;1.000000;1.000000;1.000000;1.000000;-0.184603;0.184603;-0.184603;1.000000
445648.30389984;5696591.63499840;470.71934988;79;75;67;19275.000000;1.000000;1.000000;1.000000;1.000000;-0.195002;0.195002;-0.195002;1.000000
445648.33340271;5696591.77709969;470.72234990;128;125;114;31868.000000;1.000000;1.000000;1.000000;1.000000;-0.052900;0.052900;-0.052900;1.000000
445648.30930145;5696591.71859940;470.72054984;105;100;92;25700.000000;1.000000;1.000000;1.000000;1.000000;-0.111401;0.111401;-0.111401;1.000000
445648.34950073;5696591.64719971;470.71914985;142;141;133;35980.000000;1.000000;1.000000;1.000000;1.000000;-0.182841;0.182841;-0.182841;1.000000
445648.30640228;5696591.73759850;470.72064998;97;94;88;24158.000000;1.000000;1.000000;1.000000;1.000000;-0.092402;0.092402;-0.092402;1.000000
445648.31330307;5696591.81169899;470.72184994;113;110;98;28013.000000;1.000000;1.000000;1.000000;1.000000;-0.018301;0.018301;-0.018301;1.000000
445648.32600220;5696591.74739845;470.72164990;132;131;122;33410.000000;1.000000;1.000000;1.000000;1.000000;-0.082602;0.082602;-0.082602;1.000000
445648.34850128;5696591.63789948;470.72134997;106;104;95;26471.000000;1.000000;1.000000;1.000000;1.000000;-0.192122;0.192122;-0.192122;1.000000
445648.33200272;5696591.81219872;470.72264983;99;97;86;24672.000000;1.000000;1.000000;1.000000;1.000000;-0.017801;0.017801;-0.017801;1.000000
445648.31740005;5696591.72949989;470.72105004;94;90;81;23130.000000;1.000000;1.000000;1.000000;1.000000;-0.100546;0.100546;-0.100546;1.000000
445648.32420166;5696591.80359848;470.72225000;133;131;120;33410.000000;1.000000;1.000000;1.000000;1.000000;-0.026428;0.026428;-0.026428;1.000000
445648.32780273;5696591.69119843;470.72105004;147;144;135;36751.000000;1.000000;1.000000;1.000000;1.000000;-0.138802;0.138802;-0.138802;1.000000
445648.36550339;5696591.69469841;470.72284986;123;119;108;30326.000000;1.000000;1.000000;1.000000;1.000000;-0.135302;0.135302;-0.135302;1.000000
445648.36639984;5696591.65489967;470.72234990;162;162;152;41120.000000;1.000000;1.000000;1.000000;1.000000;-0.175100;0.175100;-0.175100;1.000000
445648.31620224;5696591.76699837;470.72144987;120;118;108;30069.000000;1.000000;1.000000;1.000000;1.000000;-0.063028;0.063028;-0.063028;1.000000
